x,median,lwr,upr,sd_upper,sd_lower
11,20.2661,9.2414,51.9878,0.48064262055281837,0.40064089288721755
12,21.0349,9.155,53.0925,0.47237383279826145,0.4244299923077809
13,21.8565,9.1736,54.2525,0.4638524051878619,0.4429431461213899
14,22.7308,9.2973,55.4677,0.45514287567936546,0.45612081509938557
15,23.658,9.5261,56.7381,0.4462982748059424,0.464115267456337
16,24.6379,9.86,58.0637,0.43737488570624117,0.46724476487040684
17,25.6705,10.299,59.4445,0.42841868951814427,0.4659671783365114
18,26.756,10.843,60.8806,0.41946725597043627,0.46083624324801875
19,27.8942,11.4922,62.3718,0.41055840216272105,0.45242359057900067
20,29.0852,12.2464,63.9183,0.4017225773590892,0.4413252232074513
21,30.3289,13.1056,65.52,0.39298693174680693,0.4280925681336081
22,31.6254,14.07,67.1769,0.38437185879820895,0.4132223081952767
23,32.9747,15.1394,68.889,0.3758958739001095,0.3971632569670969
24,34.3768,16.314,70.6563,0.3675741626925014,0.3802848384560118
25,35.8316,17.5936,72.4789,0.3594210711135201,0.3629056051468788
26,37.3392,18.9782,74.3566,0.35144322712354475,0.3452820209817147
27,38.8996,20.468,76.2896,0.343649314868406,0.3276128963532334
28,40.5127,22.0628,78.2778,0.3360451697389597,0.3100625371778669
29,42.1786,23.7627,80.3212,0.3286329656412699,0.2927529892918427
30,43.8973,25.5677,82.4198,0.32141473700988976,0.27577702993602066
31,45.6834,27.4728,84.5737,0.3142287500893327,0.2594584536279575
32,47.5682,29.4059,86.7827,0.30675654198560204,0.24539241646478685
33,49.553,31.3433,89.047,0.29904158999082747,0.23369503863134208
34,51.6376,33.2851,91.3665,0.2911371434638212,0.2240511428028761
35,53.8222,35.2312,93.7469,0.28311866131450125,0.21620100398397082
36,56.1067,37.1816,96.2637,0.27542656413962485,0.20991898965865724
37,58.491,39.1364,98.9402,0.2681850668245999,0.20501016123841798
38,60.9753,41.0955,101.7764,0.26138233979045833,0.20131134575630133
39,63.5595,43.0589,104.7721,0.2550056326606522,0.19867731081378287
40,66.2436,45.0267,107.9276,0.24904172220860188,0.19698122922207922
41,69.0276,46.9988,111.2427,0.2434734062741232,0.19611446691294196
42,71.9115,48.9756,114.7174,0.2382834267412108,0.19597652112262054
43,74.8953,50.958,118.3518,0.23345428915780594,0.19647417050744073
44,77.979,52.9461,122.1459,0.2289676898880571,0.19753323710581036
45,81.1626,54.94,126.0996,0.22480485762767696,0.1990881986034805
46,84.4462,56.9395,130.213,0.22094741121355882,0.20108435947120992
47,87.8296,58.9448,134.486,0.21737833200958268,0.2034679392455388
48,91.3129,60.9557,138.9187,0.21407999993146698,0.20619627511727587
49,94.901,62.9724,143.511,0.21100890017649518,0.20925393255432648
50,98.6053,64.9948,148.2633,0.20809425228390585,0.21266211530816556
51,102.4263,67.0229,153.1769,0.20533160565383993,0.2163822262896505
52,106.364,69.1357,158.2523,0.2027160311698507,0.21979384381844883
53,110.4184,71.4822,163.4894,0.2002404948005299,0.22185118314528632
54,114.5895,74.0658,168.8881,0.1978980553031727,0.22265422946301
55,118.8772,76.8866,174.4486,0.19568322186185635,0.22232623391683254
56,123.2817,79.9445,180.1708,0.19358842306373722,0.22098945752331928
57,127.8028,83.2396,186.0546,0.19160802453407783,0.2187577830636468
58,132.4407,86.7718,192.1001,0.18973550625471572,0.21574148672967333
59,137.1952,90.5412,198.3074,0.1879661340656165,0.21204068037070817
60,142.0664,94.5313,204.6763,0.18629344532328596,0.2078385496688384
61,147.0544,98.5831,211.2069,0.1847120588802655,0.20403200970611407
62,152.159,102.6565,218.1241,0.18374394904471386,0.20078447108061134
63,157.3803,106.7513,225.6761,0.1838957225097709,0.19804252005038142
64,162.7183,110.8677,233.863,0.18505866783995822,0.1957565746423394
65,168.173,115.0056,242.6847,0.1871274788200826,0.19388387175362773
66,173.7443,119.165,252.1413,0.19000253393073238,0.19238550550878764
67,179.4324,123.3459,262.2327,0.1935886439731963,0.19122751614968345
68,185.3267,127.5483,272.9591,0.19755191506961103,0.19062504958299206
69,191.6172,131.7723,284.3293,0.2013435926692878,0.19103275449075469
70,198.3099,136.0171,296.4361,0.20510240930649373,0.1923726252604366
71,205.405,140.2811,309.304,0.20884743474052261,0.19455886389942303
72,212.9023,144.5642,322.933,0.21255688588284855,0.19750493647602638
73,220.802,148.8664,337.3232,0.21621181064769507,0.20113118005547154
74,229.104,153.1876,352.4744,0.21979691151527506,0.20536364022895642
75,237.8083,157.528,368.3868,0.22330029907789994,0.21013350341059925
76,246.915,161.8874,385.2075,0.22690714402665865,0.21537914082171483
77,256.4239,166.266,403.1673,0.2308773866565657,0.22104235659402896
78,266.3351,170.6636,422.2689,0.23514644108753335,0.2270718994427659
79,276.6487,175.0804,442.5122,0.2396528389972297,0.23341998635962782
80,287.3645,179.5162,463.8974,0.24434283790563258,0.2400438725706188
81,298.4831,184.014,486.2483,0.24898269590209646,0.24678646588950756
82,310.02,188.7267,509.3541,0.2533197147710976,0.25323309935021693
83,321.984,193.6679,533.2145,0.25735812620638615,0.2593658257014616
84,334.375,198.8376,557.8296,0.26111756211739967,0.26519117678708015
85,347.1929,204.2359,583.1992,0.26461646718522736,0.2707167525300323
86,360.4378,209.8627,609.3872,0.26792574406500425,0.2759519879235255
87,374.1098,215.718,637.1643,0.271672557594796,0.28090680513609373
88,388.2087,221.8018,666.7563,0.2759599644001596,0.28559127107624255
89,402.7346,228.1142,698.1634,0.28070172886776795,0.2900160221713839
90,417.6875,234.5622,731.3854,0.285819897207908,0.29439425885392134
91,433.0674,240.9431,766.4225,0.29124500519166663,0.2991492694173092
92,448.8742,247.25,803.2745,0.2969152185249215,0.3042564794941204
93,465.1081,253.4828,842.0971,0.3028701411074211,0.309680551559822
94,481.769,259.6415,883.1608,0.30920537980600477,0.31538924116402983
95,498.8568,265.7261,926.4705,0.31584853282690983,0.3213535722396003
96,516.3717,271.7367,972.0261,0.32273255151005525,0.32754758787284616
97,534.3135,277.6732,1019.8277,0.3297990944347998,0.3339478891402761
98,552.6823,283.5356,1069.8754,0.33699700936592614,0.340533492471198
99,571.4781,289.324,1122.169,0.3442819062935038,0.34728520147103664
100,590.701,295.0382,1176.7085,0.3516155335799569,0.35418628966149884
