fishery_type,country,ERA_fishery_name,Coarse_description,n_records,Catch
terminal,Canada,TWCVI TERM N,Southwest WCVI Terminal Net,7755,32677
terminal,Canada,TWCVI TERM S,WCVI Terminal Sport,2795,18264
terminal,Canada,TWCVI FS,WCVI Freshwater Sport,47,261
terminal,US,TPS FN,North Puget Sound Freshwater Net,13,55
terminal,Canada,TWCVI TERM N,Northwest WCVI Terminal Net,11,37
terminal,US,TAK TERM T,Alaska Terminal Troll,4,18
terminal,Canada,TFRASER FS,Fraser Freshwater Sport,3,18
terminal,US,TPS FN,Skagit Freshwater Net,5,15
terminal,US,TWAC FN,Washington North Coast Freshwater Net,4,7
terminal,Canada,TNORTH FS,North Freshwater Sport,1,5
terminal,US,TCOL R N,Columbia Select Area Net,1,3
terminal,US,TPS FN,Puget Sound Area 10-11-13 Freshwater Net,1,3
terminal,Canada,TGS FS,North Georgia Strait Freshwater Sport,1,3
terminal,US,TCOL R N,Columbia River Z1-5 Gillnet,1,2
pre-terminal,Canada,NORTH T,North Summer Troll,2393,9813
pre-terminal,US,AK JLO T,Alaska July North Outside Troll,2076,7015
pre-terminal,US,ALASKA S,Alaska Southeast Sport,2836,5193
pre-terminal,Canada,WCVI SUM T,Northwest Vancouver Island Summer Troll,1218,4847
pre-terminal,Canada,CENTRL T,Central Troll,1361,4300
pre-terminal,US,AK JNO T,Alaska June North Outside Troll,1530,3846
pre-terminal,Canada,NBC AABM S,North AABM Sport (QCI),807,3724
pre-terminal,Canada,WCVI ISBM S,WCVI ISBM Sport,544,3278
pre-terminal,US,ALASKA N,Alaska District 103 & 104 Seine,644,3255
pre-terminal,Canada,WCVI AABM S,WCVI AABM Sport,436,2773
pre-terminal,US,AK FALL T,Alaska Fall North Outside Troll,829,2743
pre-terminal,Canada,WCVI SUM T,Southwest Vancouver Island Summer Troll,471,2428
pre-terminal,Canada,CBC S,Central Sport,394,2160
pre-terminal,Canada,BC JF S,Canadian Juan De Fuca Sport,280,2150
pre-terminal,US,AK JLO T,Alaska July South Outside Troll,731,2003
pre-terminal,US,AK W/S T,Alaska Late Winter North Outside Troll,577,1694
pre-terminal,US,AK W/S T,Alaska Spring North Outside Troll,708,1646
pre-terminal,Canada,NORTH N,North Net,426,1517
pre-terminal,Canada,NORTH T,North Spring Troll,392,1425
pre-terminal,Canada,JNST S,Johnstone Strait Sport,232,1173
pre-terminal,US,AK JNO T,Alaska June South Outside Troll,310,923
pre-terminal,Canada,CENTRL N,Central Net,243,745
