IRER,pNOB_target,fs,Letter,MSF_T,MM,Number,Option_number,Scenario,Option_name,Scenario_name,n
0,NA,0.1,A,FALSE,FALSE,1,1,A1,(1) IRER = 0,"A1. 0.1 fs, no MM, no MSF_T",1
0,NA,0.1,A,TRUE,FALSE,2,1,A2,(1) IRER = 0,"A2. 0.1 fs, no MM, MSF_T",2
0,0.5,0.1,A,FALSE,TRUE,3,1,A3,"(1) IRER = 0, pNOB = 0.5","A3. 0.1 fs, MM, no MSF_T",3
0.25,0.5,0.1,A,FALSE,TRUE,3,2,A3,"(2) IRER = 0.25, pNOB = 0.5","A3. 0.1 fs, MM, no MSF_T",4
0.75,0.5,0.1,A,FALSE,TRUE,3,3,A3,"(3) IRER = 0.75, pNOB = 0.5","A3. 0.1 fs, MM, no MSF_T",5
0,1,0.1,A,FALSE,TRUE,3,4,A3,"(4) IRER = 0, pNOB = 1","A3. 0.1 fs, MM, no MSF_T",6
0.25,1,0.1,A,FALSE,TRUE,3,5,A3,"(5) IRER = 0.25, pNOB = 1","A3. 0.1 fs, MM, no MSF_T",7
0.75,1,0.1,A,FALSE,TRUE,3,6,A3,"(6) IRER = 0.75, pNOB = 1","A3. 0.1 fs, MM, no MSF_T",8
0,0.5,0.1,A,TRUE,TRUE,4,1,A4,"(1) IRER = 0, pNOB = 0.5","A4. 0.1 fs, MM, MSF_T",9
0.25,0.5,0.1,A,TRUE,TRUE,4,2,A4,"(2) IRER = 0.25, pNOB = 0.5","A4. 0.1 fs, MM, MSF_T",10
0.75,0.5,0.1,A,TRUE,TRUE,4,3,A4,"(3) IRER = 0.75, pNOB = 0.5","A4. 0.1 fs, MM, MSF_T",11
0,1,0.1,A,TRUE,TRUE,4,4,A4,"(4) IRER = 0, pNOB = 1","A4. 0.1 fs, MM, MSF_T",12
0.25,1,0.1,A,TRUE,TRUE,4,5,A4,"(5) IRER = 0.25, pNOB = 1","A4. 0.1 fs, MM, MSF_T",13
0.75,1,0.1,A,TRUE,TRUE,4,6,A4,"(6) IRER = 0.75, pNOB = 1","A4. 0.1 fs, MM, MSF_T",14
0,NA,0.15,B,FALSE,FALSE,1,1,B1,(1) IRER = 0,"B1. 0.15 fs, no MM, no MSF_T",15
0,NA,0.15,B,TRUE,FALSE,2,1,B2,(1) IRER = 0,"B2. 0.15 fs, no MM, MSF_T",16
0,0.5,0.15,B,FALSE,TRUE,3,1,B3,"(1) IRER = 0, pNOB = 0.5","B3. 0.15 fs, MM, no MSF_T",17
0.25,0.5,0.15,B,FALSE,TRUE,3,2,B3,"(2) IRER = 0.25, pNOB = 0.5","B3. 0.15 fs, MM, no MSF_T",18
0.75,0.5,0.15,B,FALSE,TRUE,3,3,B3,"(3) IRER = 0.75, pNOB = 0.5","B3. 0.15 fs, MM, no MSF_T",19
0,1,0.15,B,FALSE,TRUE,3,4,B3,"(4) IRER = 0, pNOB = 1","B3. 0.15 fs, MM, no MSF_T",20
0.25,1,0.15,B,FALSE,TRUE,3,5,B3,"(5) IRER = 0.25, pNOB = 1","B3. 0.15 fs, MM, no MSF_T",21
